ID,AGENCY_CODE,PROJ_CODE,S_ID,O_ID,H_NO,O_LATITUDE_GDA,O_LONGITUDE_GDA,O_WA_SOILGRP_CODE,H_TEXTURE,P_HCO3_,P_HCO3_1,P_HCO3_2,P_HCO3_3,P_HCO3_4,P_any_,P_buff_,P_buff_1,P_buff_2,P_buffany,ENT_DESC,PROP_DESC,LAND_USE_DESCRIPTION,LU_SEL
501_BMA_0364_1,501,BMA,0364,1,2,-33.72571,115.216814,501,SCL,4,,,,,4,,,,,Agricultural,Small Landholding,CATTLE FOR DAIRY,2
501_BMA_0364_1,501,BMA,0364,1,3,-33.72571,115.216814,501,SCL,3,,,,,3,,,,,Agricultural,Small Landholding,CATTLE FOR DAIRY,2
501_BMA_0364_1,501,BMA,0364,1,3,-33.72571,115.216814,501,SCL,4,,,,,4,,,,,Agricultural,Small Landholding,CATTLE FOR DAIRY,2
501_BMA_0365_1,501,BMA,0365,1,2,-33.73408,115.216328,304,LS,4,,,,,4,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0365_1,501,BMA,0365,1,1,-33.73408,115.216328,304,LS,14,,,,,14,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0365_1,501,BMA,0365,1,1,-33.73408,115.216328,304,LS,45,,,,,45,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BMA_0365_1,501,BMA,0365,1,1,-33.73408,115.216328,304,LS,57,,,,,57,,,,,Agricultural,Rural,CATTLE FOR DAIRY,2
501_BRMO_010_1,501,BRMO,010,1,1,-19.268368,121.517327,,LS,,6,,,,6,,,,,,,,1
501_BRMO_010_1,501,BRMO,010,1,2,-19.268368,121.517327,,SL,,2,,,,2,,,,,,,,1
501_BRMO_011_1,501,BRMO,011,1,1,-19.264992,121.51319,,LS,,2,,,,2,,,,,,,,1
501_BRMO_011_1,501,BRMO,011,1,2,-19.264992,121.51319,,SL,,2,,,,2,,,,,,,,1
501_COC_0211_1,501,COC,0211,1,3,-15.827507,128.768834,445,LFS,,101,,,,101,,,,,Agricultural,Rural,,2
501_COC_0211_1,501,COC,0211,1,1,-15.827507,128.768834,445,FS,,17,,,,17,,,,,Agricultural,Rural,,2
501_COC_0211_1,501,COC,0211,1,2,-15.827507,128.768834,445,FS,,101,,,,101,,,,,Agricultural,Rural,,2
501_COC_0211_1,501,COC,0211,1,3,-15.827507,128.768834,445,LFS,,2,,,,2,,,,,Agricultural,Rural,,2
501_COC_0216_1,501,COC,0216,1,3,-15.719446,128.955255,441,LFS,,2,,,,2,,,,,,,,1
501_COC_0216_1,501,COC,0216,1,3,-15.719446,128.955255,441,LFS,,2,,,,2,,,,,,,,1
501_COC_0216_1,501,COC,0216,1,1,-15.719446,128.955255,441,LFS,,2,,,,2,,,,,,,,1
501_COC_0216_1,501,COC,0216,1,2,-15.719446,128.955255,441,LFS,,2,,,,2,,,,,,,,1
501_CSS_C48_1,501,CSS,C48,1,1,-24.827462,113.850153,406,LKS,,11,,,,11,,,,,,,,1
501_CSS_C48_1,501,CSS,C48,1,2,-24.827462,113.850153,406,SLC,,12,,,,12,,,,,,,,1
501_CSS_C48_1,501,CSS,C48,1,4,-24.827462,113.850153,406,SLC,,4,,,,4,,,,,,,,1
501_DAN_0421_1,501,DAN,0421,1,2,-31.063397,116.078658,304,GR,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0421_1,501,DAN,0421,1,3,-31.063397,116.078658,304,SL,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0421_1,501,DAN,0421,1,4,-31.063397,116.078658,304,FSCL,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0421_1,501,DAN,0421,1,5,-31.063397,116.078658,304,FSL,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0421_1,501,DAN,0421,1,1,-31.063397,116.078658,304,GR,15,,,,,15,,,,,Agricultural,Rural,,2
501_DAN_0422_1,501,DAN,0422,1,5,-31.113113,116.080035,303,CL,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0422_1,501,DAN,0422,1,1,-31.113113,116.080035,303,FSL,60,,,,,60,,,,,Agricultural,Rural,,2
501_DAN_0422_1,501,DAN,0422,1,2,-31.113113,116.080035,303,GR,6,,,,,6,,,,,Agricultural,Rural,,2
