"","X1","X2","X3","X4","X5","X6"
"236",544,100,100,100,100,"Calcenic Ferrosol"
"237",545,100,100,100,100,"Supracalcic Ferrosol"
"238",546,100,100,100,100,"Hypergypsic Ferrosol"
"239",547,100,100,100,100,"Sesqui-Nodular Ferrosol"
"240",548,100,100,100,100,"Garbic Ferrosol"
"241",601,100,100,100,100,"Red Kurosol"
"242",602,100,100,100,100,"Brown Kurosol"
"243",603,100,100,100,100,"Leptic Kurosol"
"244",604,100,100,100,100,"Bleached-Orthic Kurosol"
"245",605,100,100,100,100,"Chernic Kurosol"
"246",606,100,100,100,100,"Brown-Orthic Kurosol"
"247",607,100,100,100,100,"Semiaquic Kurosol"
"248",608,100,100,100,100,"Aeric Kurosol"
"249",609,100,100,100,100,"Yellow Kurosol"
"250",610,100,100,100,100,"Oxyaquic Kurosol"
"251",611,100,100,100,100,"Brown-Orthic Kurosol"
"252",612,100,100,100,100,"Arenic Kurosol"
"253",613,100,100,100,100,"Clastic Kurosol"
"254",614,100,100,100,100,"Grey Kurosol"
"255",615,100,100,100,100,"Black Kurosol"
"256",616,100,100,100,100,"Shelly Kurosol"
"257",617,100,100,100,100,"Redoxic Kurosol"
"258",618,100,100,100,100,"Grey-Orthic Kurosol"
"259",619,100,100,100,100,"Stratic Kurosol"
"260",620,100,100,100,100,"Spolic Kurosol"
"261",621,100,100,100,100,"Aquic Kurosol"
"262",622,100,100,100,100,"Chernic-Leptic Kurosol"
"263",623,100,100,100,100,"Lutic Kurosol"
"264",624,100,100,100,100,"Supratidal Kurosol"
"265",625,100,100,100,100,"Extratidal Kurosol"
"266",626,100,100,100,100,"Hemic Kurosol"
"267",627,100,100,100,100,"Sapric Kurosol"
"268",628,100,100,100,100,"Fibric Kurosol"
"269",629,100,100,100,100," Bleached-Leptic Kurosol"
"270",630,100,100,100,100,"Red-Orthic Kurosol"
"271",631,100,100,100,100,"Salic Kurosol"
"272",632,100,100,100,100,"Hypersalic Kurosol"
"273",633,100,100,100,100,"Calcic Kurosol"
"274",634,100,100,100,100,"Hypocalcic Kurosol"
"275",635,100,100,100,100,"Hortic Kurosol"
"276",636,100,100,100,100,"Dredgic Kurosol"
"277",637,100,100,100,100,"Black-Orthic Kurosol"
"278",638,100,100,100,100,"Cumulic Kurosol"
"279",639,100,100,100,100,"Urbic Kurosol"
"280",640,100,100,100,100,"Carbic Kurosol"
"281",641,100,100,100,100,"Hypercalcic Kurosol"
"282",642,100,100,100,100,"Scalpic Kurosol"
"283",643,100,100,100,100,"Lithocalcic Kurosol"
"284",644,100,100,100,100,"Calcenic Kurosol"
"285",645,100,100,100,100,"Supracalcic Kurosol"
"286",646,100,100,100,100,"Hypergypsic Kurosol"
"287",647,100,100,100,100,"Sesqui-Nodular Kurosol"
"288",648,100,100,100,100,"Garbic Kurosol"
"289",701,100,100,100,100,"Red Tenosol"
"290",702,100,100,100,100,"Brown Tenosol"
"291",703,100,100,100,100,"Leptic Tenosol"
"292",704,100,100,100,100,"Bleached-Orthic Tenosol"
"293",705,100,100,100,100,"Chernic Tenosol"
"294",706,100,100,100,100,"Brown-Orthic Tenosol"
"295",707,100,100,100,100,"Semiaquic Tenosol"
"296",708,100,100,100,100,"Aeric Tenosol"
"297",709,100,100,100,100,"Yellow Tenosol"
"298",710,100,100,100,100,"Oxyaquic Tenosol"
"299",711,100,100,100,100,"Brown-Orthic Tenosol"
"300",712,100,100,100,100,"Arenic Tenosol"
"301",713,100,100,100,100,"Clastic Tenosol"
"302",714,100,100,100,100,"Grey Tenosol"
"303",715,100,100,100,100,"Black Tenosol"
"304",716,100,100,100,100,"Shelly Tenosol"
"305",717,100,100,100,100,"Redoxic Tenosol"
"306",718,100,100,100,100,"Grey-Orthic Tenosol"
"307",719,100,100,100,100,"Stratic Tenosol"
"308",720,100,100,100,100,"Spolic Tenosol"
"309",721,100,100,100,100,"Aquic Tenosol"
"310",722,100,100,100,100,"Chernic-Leptic Tenosol"
"311",723,100,100,100,100,"Lutic Tenosol"
"312",724,100,100,100,100,"Supratidal Tenosol"
"313",725,100,100,100,100,"Extratidal Tenosol"
"314",726,100,100,100,100,"Hemic Tenosol"
"315",727,100,100,100,100,"Sapric Tenosol"
"316",728,100,100,100,100,"Fibric Tenosol"
"317",729,100,100,100,100," Bleached-Leptic Tenosol"
"318",730,100,100,100,100,"Red-Orthic Tenosol"
"319",731,100,100,100,100,"Salic Tenosol"
"320",732,100,100,100,100,"Hypersalic Tenosol"
"321",733,100,100,100,100,"Calcic Tenosol"
"322",734,100,100,100,100,"Hypocalcic Tenosol"
"323",735,100,100,100,100,"Hortic Tenosol"
"324",736,100,100,100,100,"Dredgic Tenosol"
"325",737,100,100,100,100,"Black-Orthic Tenosol"
"326",738,100,100,100,100,"Cumulic Tenosol"
"327",739,100,100,100,100,"Urbic Tenosol"
"328",740,100,100,100,100,"Carbic Tenosol"
"329",741,100,100,100,100,"Hypercalcic Tenosol"
"330",742,100,100,100,100,"Scalpic Tenosol"
"331",743,100,100,100,100,"Lithocalcic Tenosol"
"332",744,100,100,100,100,"Calcenic Tenosol"
"333",745,100,100,100,100,"Supracalcic Tenosol"
"334",746,100,100,100,100,"Hypergypsic Tenosol"
"335",747,100,100,100,100,"Sesqui-Nodular Tenosol"
"336",748,100,100,100,100,"Garbic Tenosol"
"337",801,100,100,100,100,"Red Kandosol"
"338",802,100,100,100,100,"Brown Kandosol"
"339",803,100,100,100,100,"Leptic Kandosol"
"340",804,100,100,100,100,"Bleached-Orthic Kandosol"
"341",805,100,100,100,100,"Chernic Kandosol"
"342",806,100,100,100,100,"Brown-Orthic Kandosol"
"343",807,100,100,100,100,"Semiaquic Kandosol"
"344",808,100,100,100,100,"Aeric Kandosol"
"345",809,100,100,100,100,"Yellow Kandosol"
"346",810,100,100,100,100,"Oxyaquic Kandosol"
"347",811,100,100,100,100,"Brown-Orthic Kandosol"
"348",812,100,100,100,100,"Arenic Kandosol"
"349",813,100,100,100,100,"Clastic Kandosol"
"350",814,100,100,100,100,"Grey Kandosol"
"351",815,100,100,100,100,"Black Kandosol"
"352",816,100,100,100,100,"Shelly Kandosol"
"353",817,100,100,100,100,"Redoxic Kandosol"
"354",818,100,100,100,100,"Grey-Orthic Kandosol"
"355",819,100,100,100,100,"Stratic Kandosol"
"356",820,100,100,100,100,"Spolic Kandosol"
"357",821,100,100,100,100,"Aquic Kandosol"
"358",822,100,100,100,100,"Chernic-Leptic Kandosol"
"359",823,100,100,100,100,"Lutic Kandosol"
"360",824,100,100,100,100,"Supratidal Kandosol"
"361",825,100,100,100,100,"Extratidal Kandosol"
"362",826,100,100,100,100,"Hemic Kandosol"
"363",827,100,100,100,100,"Sapric Kandosol"
"364",828,100,100,100,100,"Fibric Kandosol"
"365",829,100,100,100,100," Bleached-Leptic Kandosol"
"366",830,100,100,100,100,"Red-Orthic Kandosol"
"367",831,100,100,100,100,"Salic Kandosol"
"368",832,100,100,100,100,"Hypersalic Kandosol"
"369",833,100,100,100,100,"Calcic Kandosol"
"370",834,100,100,100,100,"Hypocalcic Kandosol"
"371",835,100,100,100,100,"Hortic Kandosol"
"372",836,100,100,100,100,"Dredgic Kandosol"
"373",837,100,100,100,100,"Black-Orthic Kandosol"
"374",838,100,100,100,100,"Cumulic Kandosol"
"375",839,100,100,100,100,"Urbic Kandosol"
"376",840,100,100,100,100,"Carbic Kandosol"
"377",841,100,100,100,100,"Hypercalcic Kandosol"
"378",842,100,100,100,100,"Scalpic Kandosol"
"379",843,100,100,100,100,"Lithocalcic Kandosol"
"380",844,100,100,100,100,"Calcenic Kandosol"
"381",845,100,100,100,100,"Supracalcic Kandosol"
"382",846,100,100,100,100,"Hypergypsic Kandosol"
"383",847,100,100,100,100,"Sesqui-Nodular Kandosol"
"384",848,100,100,100,100,"Garbic Kandosol"
"385",901,100,100,100,100,"Red Hydrosol"
"386",902,100,100,100,100,"Brown Hydrosol"
"387",903,100,100,100,100,"Leptic Hydrosol"
"388",904,100,100,100,100,"Bleached-Orthic Hydrosol"
"389",905,100,100,100,100,"Chernic Hydrosol"
"390",906,100,100,100,100,"Brown-Orthic Hydrosol"
"391",907,100,100,100,100,"Semiaquic Hydrosol"
"392",908,100,100,100,100,"Aeric Hydrosol"
"393",909,100,100,100,100,"Yellow Hydrosol"
"394",910,100,100,100,100,"Oxyaquic Hydrosol"
"395",911,100,100,100,100,"Brown-Orthic Hydrosol"
"396",912,100,100,100,100,"Arenic Hydrosol"
"397",913,100,100,100,100,"Clastic Hydrosol"
"398",914,100,100,100,100,"Grey Hydrosol"
"399",915,100,100,100,100,"Black Hydrosol"
"400",916,100,100,100,100,"Shelly Hydrosol"
"401",917,100,100,100,100,"Redoxic Hydrosol"
"402",918,100,100,100,100,"Grey-Orthic Hydrosol"
"403",919,100,100,100,100,"Stratic Hydrosol"
"404",920,100,100,100,100,"Spolic Hydrosol"
"405",921,100,100,100,100,"Aquic Hydrosol"
"406",922,100,100,100,100,"Chernic-Leptic Hydrosol"
"407",923,100,100,100,100,"Lutic Hydrosol"
"408",924,100,100,100,100,"Supratidal Hydrosol"
"409",925,100,100,100,100,"Extratidal Hydrosol"
"410",926,100,100,100,100,"Hemic Hydrosol"
"411",927,100,100,100,100,"Sapric Hydrosol"
"412",928,100,100,100,100,"Fibric Hydrosol"
"413",929,100,100,100,100," Bleached-Leptic Hydrosol"
"414",930,100,100,100,100,"Red-Orthic Hydrosol"
"415",931,100,100,100,100,"Salic Hydrosol"
"416",932,100,100,100,100,"Hypersalic Hydrosol"
"417",933,100,100,100,100,"Calcic Hydrosol"
"418",934,100,100,100,100,"Hypocalcic Hydrosol"
"419",935,100,100,100,100,"Hortic Hydrosol"
"420",936,100,100,100,100,"Dredgic Hydrosol"
"421",937,100,100,100,100,"Black-Orthic Hydrosol"
"422",938,100,100,100,100,"Cumulic Hydrosol"
"423",939,100,100,100,100,"Urbic Hydrosol"
"424",940,100,100,100,100,"Carbic Hydrosol"
"425",941,100,100,100,100,"Hypercalcic Hydrosol"
"426",942,100,100,100,100,"Scalpic Hydrosol"
"427",943,100,100,100,100,"Lithocalcic Hydrosol"
"428",944,100,100,100,100,"Calcenic Hydrosol"
"429",945,100,100,100,100,"Supracalcic Hydrosol"
"430",946,100,100,100,100,"Hypergypsic Hydrosol"
"431",947,100,100,100,100,"Sesqui-Nodular Hydrosol"
"432",948,100,100,100,100,"Garbic Hydrosol"
"433",1001,100,100,100,100,"Red Podosol"
"434",1002,100,100,100,100,"Brown Podosol"
"435",1003,100,100,100,100,"Leptic Podosol"
"436",1004,100,100,100,100,"Bleached-Orthic Podosol"
"437",1005,100,100,100,100,"Chernic Podosol"
